year,ISO_code,countries,region,pf_rol,pf_religion_restrictions,pf_religion,pf_expression_control,pf_expression,pf_score,pf_rank,ef_money_inflation,ef_money_currency,ef_money,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
2016,ETH,Ethiopia,Sub-Saharan Africa,3.302472672,6.016666667,5.552222222,0.5,5.252983157,5.064089941,150,8.5468,0,5.732983571,5.73,146,5.397044971,150,4
2016,FJI,Fiji,Oceania,4.701806119,9.35,9.202777778,6,7.666666667,7.792204395,49,9.2272,0,6.446764945,6.79,88,7.291102197,55,2
2016,FIN,Finland,Western Europe,8.639248324,5,7.901481481,9,9.666666667,9.294367917,5,9.9288,10,9.36055112,7.65,22,8.472183958,10,1
2016,FRA,France,Western Europe,6.771264767,7.172222222,7.253703704,6.75,9.25,8.766802927,25,9.96334,10,9.480112303,7.25,57,8.008401464,32,1
2016,GAB,Gabon,Sub-Saharan Africa,4.241028336,9.444444444,8.944444444,3.75,6.178571429,5.315575222,144,9.57866,0,6.589812995,5.84,140,5.577787611,144,4
2016,GMB,"Gambia, The",Sub-Saharan Africa,3.981623179,6.477777778,7.574444444,1.25,2.895833333,5.302684702,145,8.556,10,9.250386495,7.34,49,6.321342351,115,3
2016,GEO,Georgia,Caucasus & Central Asia,5.385816218,5.877777778,7.160740741,4.75,8.630952381,7.576535507,58,9.57302,10,9.222802318,8.02,7,7.798267753,40,1
2016,DEU,Germany,Western Europe,8.303209527,5.833333333,7.697777778,7.5,9.357142857,9.235191378,9,9.90334,10,9.479673116,7.69,20,8.462595689,13,1
2016,GHA,Ghana,Sub-Saharan Africa,5.747291576,7.966666667,8.081481481,6.75,8.75,7.872177815,46,6.50522,5,6.972844492,6.6,98,7.236088908,57,2
2016,GRC,Greece,Eastern Europe,5.789790663,4.394444444,7.324074074,5.5,8.738095238,7.94676815,45,9.835,5,8.037389926,6.46,108,7.203384075,61,2
2016,GTM,Guatemala,Latin America & the Caribbean,3.98767717,6.527777778,8.47,4.25,7.459933562,6.548245982,99,9.11032,10,9.557483712,7.64,23,7.094122991,66,2
2016,GIN,Guinea,Sub-Saharan Africa,3.120741098,6.527777778,8.54037037,2.75,5.788023635,5.371201607,140,8.37404,5,7.944894022,5.93,137,5.650600803,141,4
2016,GNB,Guinea-Bissau,Sub-Saharan Africa,2.799701015,9.816666667,9.852777778,4,7.083333333,6.859721724,87,9.66114,0,6.023988402,5.25,154,6.054860862,133,4
2016,GUY,Guyana,Latin America & the Caribbean,4.661064747,8.655555556,9.161111111,6,8.083333333,7.041795873,78,9.8524,5,8.329573465,6.31,119,6.675897936,96,3
2016,HTI,Haiti,Latin America & the Caribbean,3.582253733,6.25,8.392222222,5.75,8.226190476,7.184442588,74,7.2334,5,7.216129446,6.51,104,6.847221294,75,2
2016,HND,Honduras,Latin America & the Caribbean,3.194722841,7.361111111,8.731481481,1.75,7.964285714,6.386482597,107,9.455508,10,9.2936517,7.06,70,6.723241298,92,3
2016,HKG,Hong Kong,East Asia,7.13781731,8.794444444,8.592222222,5,8.666666667,8.583679591,32,9.523,10,9.568964194,8.97,1,8.776839796,3,1
2016,HUN,Hungary,Eastern Europe,5.439017665,6.388888889,7.284444444,5.75,8.821428571,8.258945773,38,9.91986,10,9.710533115,7.22,59,7.739472887,42,2
2016,ISL,Iceland,Western Europe,7.572814721,4.811111111,8.122222222,8.75,9.630952381,9.083506216,13,9.66106,0,7.055296849,7.22,59,8.151753108,27,1
2016,IND,India,South Asia,4.3204398490000004,5.922222222,5.488888889,4.5,7.921169544,6.195871335,112,9.0118,5,8.199784181,6.63,96,6.412935668,110,3
2016,IDN,Indonesia,South Asia,4.077098305,2.822222222,3.854074074,5.5,7.523809524,6.38131246,108,9.295,10,9.683353617,7.16,65,6.77065623,85,3
2016,IRN,Iran,Middle East & North Africa,4.375717373,3.377777778,4.271851852,1,5.357636552,4.532449245,154,9.92,10,8.431335572,6.03,130,5.281224623,153,4
2016,IRQ,Iraq,Middle East & North Africa,2.464387305,3.238888889,5.327777778,2,5.261904762,3.11602762,160,8.2862,10,7.258295299,5.4,152,4.25801381,159,4
2016,IRL,Ireland,Western Europe,7.614721658,8.655555556,9.082962963,8.5,9.5,8.9391294039999991,21,10,10,9.255335231,8.07,5,8.504564702,8,1
2016,ISR,Israel,Middle East & North Africa,6.790677923,3.838888889,5.931481481,6.5,7.948909543,7.544916142,60,9.8912,10,9.399942105,7.49,38,7.517458071,49,2
2016,ITA,Italy,Western Europe,6.503838352,6.338888889,8.049259259,7.5,9.071428571,8.690446317,30,9.97534,10,9.438703624,7.27,54,7.980223159,34,1
2016,JAM,Jamaica,Latin America & the Caribbean,5.403823101,8.472222222,9.305555556,7.75,9.535714286,7.268416093,70,9.5302,10,8.592263953,7.18,62,7.224208046,60,2
2016,JPN,Japan,East Asia,7.643490079,10,8.0925925929999991,6,9.19047619,8.73377055,29,9.97668,10,9.524658793,7.47,41,8.101885275,31,1
2016,JOR,Jordan,Middle East & North Africa,5.798807684,3.75,6.333703704,3.5,6.595238095,6.238666517,111,9.8426,10,9.618102308,7.46,42,6.849333258,75,2
2016,KAZ,Kazakhstan,Caucasus & Central Asia,4.537932016,5.555555556,5.508888889,1.5,6.140106103,6.375675545,109,7.098,10,8.551346498,7.11,69,6.742837772,90,3
2016,KEN,Kenya,Sub-Saharan Africa,3.953814707,6.477777778,7.214814815,4,8.333333333,6.44553669,102,8.7405,10,9.21911917,7.2,61,6.822768345,82,2
2016,KOR,"Korea, South",East Asia,7.438182909,8.933333333,9.353333333,6.5,8.976190476,8.766349858,26,9.806,10,9.609132499,7.53,35,8.148174929,27,1
2016,KWT,Kuwait,Middle East & North Africa,5.222398432,3.377777778,4.645925926,4.25,7.464285714,5.630574474,133,9.362,10,8.342265724,6.75,90,6.190287237,124,4
2016,KGZ,Kyrgyz Republic,Caucasus & Central Asia,3.807027642,6.527777778,7.130555556,3.25,6.234615306,6.247012954,110,9.9158,10,9.35947549,6.93,77,6.588506477,99,3
2016,LAO,Laos,South Asia,3.953482175,4.488888889,6.731111111,1.5,5.761904762,5.863586171,127,9.6982,5,7.335898763,6.91,81,6.386793085,113,3
2016,LVA,Latvia,Eastern Europe,6.681684163,6.527777778,8.546296296,8,9.380952381,8.851068084,22,9.97318,10,9.323349908,7.64,23,8.245534042,23,1
2016,LBN,Lebanon,Middle East & North Africa,4.339724004,6.016666667,7.153703704,4.75,8.297619048,6.429994179,104,9.8372,10,9.694505034,6.99,74,6.70999709,95,3
2016,LSO,Lesotho,Sub-Saharan Africa,4.888498063,8.794444444,9.230555556,4.5,7.541666667,6.68844396,93,8.6782,5,7.838977455,6.38,114,6.53422198,100,3
2016,LBR,Liberia,Sub-Saharan Africa,3.786012471,8.977777778,9.207777778,4.5,7.208333333,6.403401744,105,8.23322,10,9.362209474,6.56,100,6.481700872,106,3
2016,LBY,Libya,Middle East & North Africa,2.198017505,5.783333333,6.938888889,1.25,4.845238095,3.880565623,159,4.58,10,5.659898222,4.74,161,4.310282812,158,4
2016,LTU,Lithuania,Eastern Europe,6.79590086,6.388888889,8.472592593,8.5,9.5,8.821338926,24,9.819,10,9.3403373770000009,7.86,13,8.340669463,20,1
2016,LUX,Luxembourg,Western Europe,7.897751196,7.866666667,9.140740741,8.75,9.678571429,9.257401822,7,9.94018,10,9.310500088,7.6,25,8.428700911,15,1
2016,MKD,Macedonia,Eastern Europe,4.994404463,6.344444444,8.334814815,3.75,7.845238095,7.413658024,67,9.9522,5,8.131423715,7.13,68,7.271829012,56,2
2016,MDG,Madagascar,Sub-Saharan Africa,3.613214977,8.333333333,7.540740741,4.25,8.273809524,6.835123509,88,8.6692,5,7.895528282,6.19,126,6.512561755,103,3
2016,MWI,Malawi,Sub-Saharan Africa,4.922643465,7.638888889,8.532777778,6.25,7.8125,7.445213609,65,5.6586,5,6.723936391,5.86,139,6.652606805,97,3
2016,MYS,Malaysia,South Asia,5.42152405,2.405555556,3.93,3.75,6.797619048,5.902979954,126,9.57448,0,5.792303901,6.92,79,6.411489977,110,3
2016,MLI,Mali,Sub-Saharan Africa,3.930245651,9.305555556,8.601851852,5.25,7.869047619,6.060929471,119,9.63992,0,7.2042189,5.8,143,5.930464736,134,4
2016,MLT,Malta,Western Europe,6.880670013,6.2,8.44962963,7.75,9.44047619,8.977997462,20,9.8846,10,9.481213334,7.73,17,8.353998731,19,1
2016,MRT,Mauritania,Sub-Saharan Africa,3.93386056,2.916666667,5.661111111,5,6.001186054,4.987749776,151,9.7028,5,8.099707313,5.96,136,5.473874888,147,4
2016,MUS,Mauritius,Sub-Saharan Africa,6.446820269,7.405555556,8.03,7.5,9.357142857,7.717465632,52,9.7954,10,9.587632401,8.01,8,7.863732816,37,1
2016,MEX,Mexico,Latin America & the Caribbean,3.922635286,7.822222222,7.568888889,2.25,6.980011483,6.796020397,89,9.4358,5,8.106594619,6.9,82,6.848010198,75,2
2016,MDA,Moldova,Eastern Europe,4.451422898,5.461111111,6.046296296,4.75,7.369047619,7.059029525,76,8.724,5,7.98337132,6.64,95,6.849514762,75,2
2016,MNG,Mongolia,East Asia,5.251542395,6.716666667,8.584814815,7,8.238095238,7.998312553,43,9.8892,10,9.38778724,7.4,48,7.699156277,45,2
2016,MNE,Montenegro,Eastern Europe,5.103067796,8.8,8.887777778,5.25,5.229166667,7.630104133,56,9.9458,5,8.267822773,7.04,72,7.335052066,52,2
2016,MAR,Morocco,Middle East & North Africa,4.19917084,2.683333333,4.429259259,3.75,7.297619048,5.986756512,124,9.67294,0,7.216671133,6.37,115,6.178378256,127,4
2016,MOZ,Mozambique,Sub-Saharan Africa,3.551132365,9.4,7.896296296,4.75,7.607142857,6.659206645,95,8.0068,0,5.964423944,5.5,149,6.079603322,130,4
2016,MMR,Myanmar,South Asia,2.976381536,4.672222222,6.346296296,2.75,7.544895499,5.463360869,139,8.60706,0,6.480574507,5.42,151,5.441680434,149,4
2016,NAM,Namibia,Sub-Saharan Africa,5.796621702,8.888888889,8.725925926,6.75,8.25,7.394915502,68,8.65762,0,6.141285904,6.4,113,6.897457751,74,2
2016,NPL,Nepal,South Asia,4.300731416,5.505555556,5.187777778,4.75,6.702380952,6.91161139,85,8.242,0,6.43556234,6.53,102,6.720805695,92,3
2016,NLD,Netherlands,Western Europe,8.524550809,8.238888889,8.894444444,8.75,9.726190476,9.39884236,1,9.93668,10,9.503556089,7.71,18,8.55442118,6,1
2016,NZL,New Zealand,Oceania,7.868546129,9.861111111,9.731481481,8,9.523809524,9.284819157,6,9.783424,10,9.455371519,8.49,3,8.887409579,1,1
2016,NIC,Nicaragua,Latin America & the Caribbean,3.767066422,6.577777778,7.912592593,4,7.047619048,6.432494726,103,9.29602,10,9.100671988,7.27,54,6.851247363,75,2
2016,NER,Niger,Sub-Saharan Africa,4.150643838,6.616666667,7.804074074,5.25,5.345238095,5.714520097,129,9.96586,0,7.016807914,6.01,131,5.862260048,137,4
2016,NGA,Nigeria,Sub-Saharan Africa,4.327010052,5.505555556,7.327777778,4.5,8.175114352,5.823617206,128,6.8608,5,7.46087942,6.32,118,6.071808603,132,4
2016,NOR,Norway,Western Europe,8.556487979,6.111111111,7.407407407,9.25,9.797619048,9.342481133,2,9.29,10,9.499277343,7.6,25,8.471240566,10,1
2016,OMN,Oman,Middle East & North Africa,5.861202814,3.7,5.033333333,3.25,5.345238095,5.509055213,137,9.7798,10,8.789594455,6.76,89,6.134527607,129,4
2016,PAK,Pakistan,South Asia,3.50506934,3.655555556,4.039259259,2.5,7.087699939,5.324592448,143,9.2496,0,6.593266,6,132,5.662296224,140,4
2016,PAN,Panama,Latin America & the Caribbean,4.385538748,6.061111111,8.361111111,6.25,8.300639622,7.715240074,53,9.8508,10,9.696805181,7.58,27,7.647620037,46,2
2016,PNG,Pap. New Guinea,Oceania,3.970458096,7.544444444,8.086666667,6.75,8.604166667,7.254948816,71,8.66526,0,6.358245063,6.25,122,6.752474408,88,3
2016,PRY,Paraguay,Latin America & the Caribbean,4.108065759,7.455555556,8.174074074,4,8.380952381,6.974598187,80,9.18264,10,9.28268472,6.95,76,6.962299094,72,2
2016,PER,Peru,Latin America & the Caribbean,4.715843781,5.416666667,8.225555556,5.25,8.205155728,7.720786695,51,9.28086,10,9.704537846,7.43,44,7.575393347,47,2
2016,PHL,Philippines,South Asia,3.436584998,7.361111111,8.490740741,5,8.204248444,6.497526694,100,9.64666,10,9.422637738,7.34,49,6.918763347,73,2
2016,POL,Poland,Eastern Europe,6.382863045,5.877777778,6.345925926,6.5,8.619047619,8.3531204549999991,36,9.878066,10,9.647930249,7.27,54,7.811560227,39,1
2016,PRT,Portugal,Western Europe,7.165608272,8.794444444,9.425555556,8.25,9.55952381,9.043712243,14,9.878522,10,9.350852752,7.51,36,8.276856122,22,1
2016,QAT,Qatar,Middle East & North Africa,6.54629556,2.961111111,4.690740741,3.25,6.964285714,5.525552977,134,9.4249,10,8.679786673,7.49,38,6.507776488,103,3
2016,ROU,Romania,Eastern Europe,6.328473866,5.694444444,7.877407407,6,9,8.653232499,31,9.6924,10,9.34147173,7.69,20,8.171616249,24,1
2016,RUS,Russia,Eastern Europe,3.995194231,2.822222222,4.596296296,1.5,6.146872462,5.714381665,130,8.59006,10,9.103570417,6.83,87,6.272190833,119,3
2016,RWA,Rwanda,Sub-Saharan Africa,5.282069945,6.938888889,6.04037037,1.5,6.261904762,6.467739051,101,8.855,10,9.345718853,7.48,40,6.973869526,71,2
2016,SAU,Saudi Arabia,Middle East & North Africa,5.914095317,2.5,3.214814815,2,5.782049842,4.438732069,155,9.2953,10,9.020731753,6.52,103,5.479366035,146,4
2016,SEN,Senegal,Sub-Saharan Africa,4.682384661,7.5,9.022222222,6.25,8.25,6.774187769,91,9.83306,0,7.198889674,6.22,125,6.497093885,105,3
2016,SRB,Serbia,Eastern Europe,4.399686544,5.922222222,8.27037037,4.75,8.535714286,7.847943252,48,9.7756,5,8.1473235,6.85,84,7.348971626,51,2
2016,SYC,Seychelles,Sub-Saharan Africa,5.384695448,6.388888889,8.138888889,6,7.666666667,7.372524335,69,9.7969,10,9.001838115,7.23,58,7.301262168,54,2
2016,SLE,Sierra Leone,Sub-Saharan Africa,3.925095991,8.144444444,8.453333333,5,7.25,7.044659152,77,7.8234,5,6.943524415,5.75,144,6.397329576,112,3
2016,SGP,Singapore,South Asia,7.683405599,4.766666667,6.114814815,4.5,6.133315738,7.479423635,62,9.8995,10,9.761728956,8.84,2,8.159711817,25,1
2016,SVK,Slovak Rep.,Eastern Europe,6.275760683,7.127777778,7.727777778,7.75,9.297619048,8.536499891,33,9.896,10,9.468751955,7.3,53,7.918249946,36,1
2016,SVN,Slovenia,Eastern Europe,6.450622608,7.822222222,9,8,9.428571429,8.822791467,23,9.98868,10,9.518350807,7.05,71,7.936395733,35,1
2016,ZAF,South Africa,Sub-Saharan Africa,5.728137568,9.816666667,9.364814815,5,8.904761905,7.695143614,55,8.7348,5,8.08193844,6.65,94,7.172571807,63,2
2016,ESP,Spain,Western Europe,7.01186382,6.25,7.996666667,6.5,9.214285714,8.758213764,27,9.9596,10,9.488977918,7.56,30,8.159106882,25,1
2016,LKA,Sri Lanka,South Asia,4.518644917,5.688888889,6.876296296,3.75,7.226190476,6.040721833,121,9.2026,0,6.494747822,6.49,106,6.265360917,119,3
2016,SDN,Sudan,Sub-Saharan Africa,3.163435126,3.794444444,6.49,1,5.69047619,4.246047171,157,6.449934704,5,5.530823658,5.36,153,4.803023585,157,4
2016,SUR,Suriname,Latin America & the Caribbean,4.930395401,9.305555556,9.486111111,6.75,8.520833333,7.788563046,50,0,10,5.995025905,6.36,116,7.074281523,67,2
2016,SWZ,Swaziland,Sub-Saharan Africa,4.658352163,6.616666667,7.957222222,2.5,5.958333333,6.020328657,122,8.432,5,7.730453044,6.46,108,6.240164329,122,3
2016,SWE,Sweden,Western Europe,8.539644459,8.283333333,8.884814815,8.75,9.726190476,9.334750298,3,9.80316,10,9.34256119,7.44,43,8.387375149,17,1
2016,CHE,Switzerland,Western Europe,8.249290426,6.85,8.188518519,9,9.666666667,9.185518099,10,9.9132,10,9.922186836,8.39,4,8.78775905,2,1
2016,SYR,Syria,Middle East & North Africa,1.980355364,3.377777778,4.405555556,0.5,1.758817876,2.511653754,161,1,10,5.11957662,5.02,157,3.765826877,162,4
2016,TWN,Taiwan,East Asia,6.98399638,8.794444444,9.357407407,8,9.285714286,9.041394037,15,9.72,10,9.717084408,7.89,12,8.465697018,10,1
2016,TJK,Tajikistan,Caucasus & Central Asia,3.297263673,4.677777778,4.355555556,1.75,4.273809524,5.652324579,132,8.7992,10,8.831414728,6.72,92,6.18616229,124,4
2016,TZA,Tanzania,Sub-Saharan Africa,4.244131053,6.016666667,6.447777778,4.5,7.5,6.126418693,116,8.96594,5,8.221423469,6.92,79,6.523209346,102,3
2016,THA,Thailand,South Asia,4.286364947,4.35,7.255925926,1.75,7.15782646,6.399562601,106,9.96234,5,8.637097548,6.85,84,6.624781301,98,3
2016,TLS,Timor-Leste,South Asia,3.261570979,8.011111111,8.625555556,7.25,8.395833333,6.186449627,113,9.75588,10,8.669136791,6.55,101,6.368224813,114,3
2016,TGO,Togo,Sub-Saharan Africa,4.083063827,7.038888889,8.877407407,5.25,8.464285714,6.72993801,92,9.82912,0,7.027928927,5.82,141,6.274969005,119,3
2016,TTO,Trinidad and Tobago,Latin America & the Caribbean,4.731368885,8.472222222,8.616111111,7.25,8.729166667,6.920446388,82,9.38792,10,9.051274803,6.73,91,6.825223194,81,2
2016,TUN,Tunisia,Middle East & North Africa,4.757803695,3.838888889,6.457407407,5.5,8.017579553,6.577472244,98,9.2578,0,7.061833002,6.29,121,6.433736122,109,3
2016,TUR,Turkey,Middle East & North Africa,3.974523246,3.933333333,4.494074074,1.75,3.962095697,6.092465309,118,8.445,10,9.012961525,6.84,86,6.466232654,107,3
2016,UGA,Uganda,Sub-Saharan Africa,3.363040892,7.638888889,8.398148148,3.75,7.892857143,6.128889094,115,8.9072,10,8.647257101,7.41,46,6.769444547,85,3
2016,UKR,Ukraine,Eastern Europe,4.546373559,7.588888889,5.857777778,3.75,7.099239115,6.586270408,97,7.221,0,4.880977321,5.98,134,6.283135204,118,3
2016,ARE,United Arab Emirates,Middle East & North Africa,6.365951177,3.516666667,4.695925926,2.5,6.30952381,5.073350176,149,9.67644,10,9.103967524,7.5,37,6.286675088,117,3
2016,GBR,United Kingdom,Western Europe,7.716556989,5.183333333,7.585555556,7.75,9.25,8.995835872,18,9.87168,10,9.843565028,8,9,8.497917936,8,1
2016,USA,United States,North America,6.949911658,8.655555556,8.854074074,7,9.241503522,8.747310216,28,9.7477,10,9.84787425,8.03,6,8.388655108,17,1
2016,URY,Uruguay,Latin America & the Caribbean,6.641640406,8.938888889,8.47962963,7.5,9.357142857,8.296141806,37,8.0722,10,8.971845842,7.16,65,7.728070903,43,2
2016,VEN,Venezuela,Latin America & the Caribbean,2.060257402,6.616666667,6.884814815,2.25,5.109508378,5.521448913,135,0,5,1.942101065,2.88,162,4.200724456,161,4
2016,VNM,Vietnam,South Asia,4.91207109,6.572222222,5.895925926,1.75,5.843436781,5.9680076,125,9.35124,0,6.46894336,6.42,112,6.1940038,124,4
2016,YEM,"Yemen, Rep.",Middle East & North Africa,2.623957377,NA,NA,1,3.083333333,2.16655534,162,9,10,9.044078043,6.34,117,4.25327767,160,4
